Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
othello_chapter2 vs romeoJuliet_chapter4:       0.09375 | 0.07938710439300897 | 0.9
othello_chapter2 vs romeoJuliet_chapter5:       0.08203125 | 0.07746842709529277 | 0.896551724137931
othello_chapter2 vs romeoJuliet_prologue:       0.0 | 0.006728844597759891 | 0.8888888888888888
othello_chapter2 vs ulysses_chapter1:   0.03515625 | 0.06961266797562282 | 0.7714285714285715
othello_chapter2 vs ulysses_chapter2:   0.02734375 | 0.03452087195391229 | 0.7297297297297297
othello_chapter2 vs ulysses_chapter3:   0.0546875 | 0.05059954334907586 | 0.7297297297297297
othello_chapter3 vs othello_chapter3:   1.0 | 1.0 | 1.0
othello_chapter3 vs othello_chapter4:   0.12109375 | 0.13566926610404872 | 1.0
othello_chapter3 vs othello_chapter5:   0.12109375 | 0.11564197883900486 | 1.0
othello_chapter3 vs romeoJuliet_chapter1:       0.09375 | 0.09635728191776323 | 0.9
othello_chapter3 vs romeoJuliet_chapter2:       0.12890625 | 0.09884113833754661 | 1.0
othello_chapter3 vs romeoJuliet_chapter3:       0.11328125 | 0.10204599451018384 | 1.0
othello_chapter3 vs romeoJuliet_chapter4:       0.078125 | 0.08579582614899815 | 0.9
othello_chapter3 vs romeoJuliet_chapter5:       0.07421875 | 0.08096734211512409 | 0.896551724137931
othello_chapter3 vs romeoJuliet_prologue:       0.0 | 0.005410010649627263 | 0.8888888888888888
othello_chapter3 vs ulysses_chapter1:   0.05078125 | 0.0682012152401819 | 0.7714285714285715
othello_chapter3 vs ulysses_chapter2:   0.04296875 | 0.03385591350122063 | 0.7297297297297297
othello_chapter3 vs ulysses_chapter3:   0.046875 | 0.0490858385518394 | 0.7297297297297297
othello_chapter4 vs othello_chapter4:   1.0 | 1.0 | 1.0
othello_chapter4 vs othello_chapter5:   0.109375 | 0.1129959300338646 | 1.0
othello_chapter4 vs romeoJuliet_chapter1:       0.0859375 | 0.0903014219907871 | 0.9
othello_chapter4 vs romeoJuliet_chapter2:       0.09375 | 0.09393809114359415 | 1.0
othello_chapter4 vs romeoJuliet_chapter3:       0.08984375 | 0.09577291717866798 | 1.0
